Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Contract Documentation,To Do,High,30,High,Low
Payment Gateway Integration,Completed,High,10,Medium,Low
Workflow Management,To Do,Medium,15,Medium,Medium
DevOps,In Progress,Medium,13,Medium,Medium
Contract Documentation,To Do,Medium,8,Low,Low
Customer Relationship Management (CRM),Completed,Low,16,Medium,Low
Office Renovation,To Do,Medium,20,High,Low
Workflow Management,Completed,Medium,10,Medium,Low
Monitoring & Control Reports,To Do,Medium,28,High,Low
DevOps,To Do,Medium,14,Medium,Medium
Reporting and Analytics,Completed,Medium,29,High,Low
Portal Learning Management System (LMS),In Progress,Low,10,Medium,Low
Change Management,In Progress,Medium,26,High,Low
Enterprise Architecture (EA),To Do,Medium,1,Low,Low
Payment Gateway Integration,In Progress,Low,15,Medium,High
Workflow Management,Completed,High,25,High,Low
Project Management Information System (PMIS),To Do,Medium,7,Low,Low
Portal Learning Management System (LMS),To Do,Low,29,High,Low
Enterprise Architecture (EA),To Do,High,4,Low,High
Communication and Collaboration Tools,To Do,Medium,1,Low,Medium
Contract Documentation,In Progress,Medium,7,Low,Low
Training Management,To Do,Medium,8,Low,Low
User Interface and User Experience (UI/UX),To Do,High,10,Medium,Medium
Office Renovation,Completed,High,6,Low,Low
Management Plans,In Progress,Medium,3,Low,Low
Training Management,To Do,Medium,4,Low,Low
Project Closure Report,In Progress,High,18,Medium,Low
User Interface and User Experience (UI/UX),Completed,Low,11,Medium,Low
Workflow Management,Completed,Low,21,High,Low
DevOps,To Do,Medium,3,Low,Low
DevOps,In Progress,High,28,High,Low
Notification System,To Do,Low,30,High,High
Training Management,Completed,High,25,High,Low
Customer Relationship Management (CRM),Completed,Low,26,High,Low
Enterprise Architecture (EA),Completed,High,15,Medium,Low
Inventory Management,To Do,Medium,7,Low,Medium
Project Management Information System (PMIS),To Do,Low,26,High,Low
Project Management Information System (PMIS),Completed,High,21,High,Low
Data Services & Management,In Progress,Low,23,High,Medium
Workflow Management,Completed,High,9,Low,Low
Reporting and Analytics,In Progress,Low,26,High,Medium
Finalization and Integration,In Progress,Medium,24,High,High
Project Management Information System (PMIS),To Do,High,13,Medium,Low
Portal,To Do,High,5,Low,High
Project Closure Report,Completed,High,2,Low,Low
Change Management,Completed,High,2,Low,Low
Project Management Information System (PMIS),To Do,Low,29,High,Low
Management Plans,In Progress,Medium,20,High,Low
Certificate of Acceptance (CoA),In Progress,High,5,Low,High
Portal Learning Management System (LMS),To Do,Low,23,High,Low
Change Management,To Do,Medium,15,Medium,Medium
Transfer of Knowledge (TOK),In Progress,Low,26,High,Low
Audit and Compliance,Completed,Medium,9,Low,Low
Human Resource Management (HRM),Completed,High,22,High,Low
Change Management,To Do,High,11,Medium,Low
Inventory Management,In Progress,Medium,18,Medium,Medium
Enterprise Architecture (EA),Completed,High,13,Medium,Low
Certificate of Acceptance (CoA),In Progress,Medium,20,High,High
Communication and Collaboration Tools,To Do,Low,11,Medium,High
Transfer of Technology (TOT),To Do,Medium,6,Low,Low
Project Management,In Progress,Low,16,Medium,Medium
Office Renovation,Completed,Medium,1,Low,Low
Payment Gateway Integration,Completed,Low,19,Medium,Low
Audit and Compliance,Completed,Low,7,Low,Low
Transfer of Knowledge (TOK),To Do,Medium,8,Low,High
Project Management Information System (PMIS),To Do,Medium,25,High,Low
Management Plans,In Progress,High,17,Medium,Low
Management Plans,In Progress,Medium,7,Low,Medium
Certificate of Acceptance (CoA),To Do,Low,6,Low,Medium
Business Continuity Plan (BCP),In Progress,Low,15,Medium,Low
Customer Relationship Management (CRM),Completed,Medium,28,High,Low
Business Continuity Plan (BCP),To Do,Low,16,Medium,Low
Management Plans,In Progress,Low,26,High,Low
Finalization and Integration,In Progress,High,4,Low,High
Reporting and Analytics,In Progress,Medium,10,Medium,Medium
Reporting and Analytics,In Progress,Low,29,High,Low
Project Management,Completed,High,17,Medium,Low
Payment Gateway Integration,To Do,Medium,11,Medium,Medium
Workflow Management,Completed,Low,23,High,Low
Data Services & Management,In Progress,Medium,28,High,High
Certificate of Acceptance (CoA),In Progress,High,2,Low,High
Project Management Information System (PMIS),Completed,High,7,Low,Low
DevOps,In Progress,High,1,Low,High
Data Management and Storage,To Do,Medium,20,High,Medium
Notification System,Completed,Low,21,High,Low
Audit and Compliance,In Progress,Medium,15,Medium,Medium
Human Resource Management (HRM),In Progress,Medium,8,Low,High
Business Continuity Plan (BCP),To Do,High,16,Medium,Low
Training Management,Completed,Medium,24,High,Low
Data Management and Storage,In Progress,Medium,14,Medium,Medium
Change Management,Completed,High,3,Low,Low
Certificate of Acceptance (CoA),In Progress,Low,6,Low,Low
User Authentication and Access Control,Completed,Medium,7,Low,Low
Transfer of Technology (TOT),To Do,High,11,Medium,Low
Transfer of Knowledge (TOK),To Do,Medium,2,Low,Low
Project Closure Report,To Do,Low,17,Medium,Low
Portal Learning Management System (LMS),In Progress,Medium,2,Low,Low
Data Services & Management,Completed,Low,2,Low,Low
Business Continuity Plan (BCP),Completed,Medium,28,High,Low
Data Services & Management,To Do,Medium,8,Low,Medium
Certificate of Acceptance (CoA),In Progress,High,20,High,Low
Project Management,Completed,Medium,14,Medium,Low
Human Resource Management (HRM),Completed,Low,20,High,Low
Payment Gateway Integration,Completed,Low,15,Medium,Low
Project Closure Report,In Progress,High,6,Low,High
Data Management and Storage,To Do,Medium,28,High,High
Data Services & Management,Completed,High,7,Low,Low
Training Management,To Do,Medium,19,Medium,Medium
Reporting and Analytics,In Progress,High,8,Low,High
Transfer of Technology (TOT),Completed,High,11,Medium,Low
Customer Relationship Management (CRM),Completed,Low,26,High,Low
Human Resource Management (HRM),To Do,Low,16,Medium,Low
Business Continuity Plan (BCP),To Do,Medium,13,Medium,Medium
Payment Gateway Integration,To Do,Medium,25,High,Low
Data Services & Management,To Do,Medium,28,High,Low
Human Resource Management (HRM),Completed,High,3,Low,Low
Project Management,In Progress,High,15,Medium,Low
DevOps,Completed,High,21,High,Low
Human Resource Management (HRM),To Do,Low,29,High,Low
Payment Gateway Integration,Completed,High,6,Low,Low
Project Closure Report,To Do,Low,7,Low,Low
Transfer of Knowledge (TOK),In Progress,Medium,5,Low,High
Workflow Management,In Progress,Medium,9,Low,High
Customer Relationship Management (CRM),To Do,Medium,27,High,Medium
Project Management,In Progress,Low,26,High,Medium
Audit and Compliance,To Do,Low,17,Medium,Low
Inventory Management,Completed,Medium,9,Low,Low
Data Lake & Data Warehouse Operation,To Do,Low,23,High,High
DevOps,In Progress,High,21,High,Low
Finalization and Integration,In Progress,Low,4,Low,Low
Certificate of Acceptance (CoA),Completed,Low,15,Medium,Low
Management Plans,In Progress,High,22,High,Low
Human Resource Management (HRM),Completed,Medium,6,Low,Low
Portal,In Progress,Low,8,Low,High
User Authentication and Access Control,Completed,Low,11,Medium,Low
Training Management,To Do,Medium,17,Medium,Medium
Payment Gateway Integration,In Progress,High,9,Low,High
User Authentication and Access Control,Completed,High,22,High,Low
Monitoring & Control Reports,To Do,High,17,Medium,Medium
Data Management and Storage,To Do,Low,5,Low,Medium
Management Plans,Completed,High,20,High,Low
Audit and Compliance,In Progress,Medium,9,Low,Low
Monitoring & Control Reports,Completed,High,2,Low,Low
Project Management,In Progress,Medium,21,High,High
Data Services & Management,In Progress,High,11,Medium,High
Finalization and Integration,To Do,Medium,5,Low,High
Communication and Collaboration Tools,In Progress,High,13,Medium,High
Certificate of Acceptance (CoA),In Progress,Medium,27,High,Medium
Project Management Information System (PMIS),To Do,Medium,16,Medium,Medium
Management Plans,In Progress,Medium,28,High,High
Data Services & Management,In Progress,High,10,Medium,Medium
Office Renovation,To Do,Medium,28,High,Low
Notification System,To Do,Low,23,High,Medium
Office Renovation,In Progress,Medium,18,Medium,Medium
Audit and Compliance,In Progress,Medium,5,Low,Low
Portal,Completed,Medium,15,Medium,Low
Notification System,Completed,Low,20,High,Low
Portal Learning Management System (LMS),To Do,Low,30,High,Low
Human Resource Management (HRM),Completed,Low,12,Medium,Low
Office Renovation,Completed,Medium,5,Low,Low
Project Closure Report,To Do,High,10,Medium,Low
Data Management and Storage,Completed,Low,23,High,Low
Finalization and Integration,In Progress,High,23,High,High
Data Services & Management,Completed,High,14,Medium,Low
Payment Gateway Integration,To Do,Medium,3,Low,Medium
Reporting and Analytics,In Progress,Low,19,Medium,High
Office Renovation,To Do,High,23,High,Low
Monitoring & Control Reports,In Progress,Medium,29,High,Low
Inventory Management,Completed,Low,1,Low,Low
User Authentication and Access Control,In Progress,High,16,Medium,Medium
Workflow Management,To Do,High,16,Medium,High
DevOps,In Progress,High,6,Low,High
Business Continuity Plan (BCP),In Progress,Low,9,Low,Low
Contract Documentation,Completed,Medium,30,High,Low
Data Management and Storage,To Do,Medium,26,High,Medium
Customer Relationship Management (CRM),Completed,Low,20,High,Low
Transfer of Technology (TOT),In Progress,High,5,Low,High
Certificate of Acceptance (CoA),Completed,Medium,27,High,Low
Project Closure Report,In Progress,Low,14,Medium,Low
User Authentication and Access Control,To Do,Low,9,Low,High
Certificate of Acceptance (CoA),To Do,Medium,4,Low,High
Data Management and Storage,Completed,Low,27,High,Low
Audit and Compliance,Completed,Low,16,Medium,Low
Enterprise Architecture (EA),Completed,Medium,10,Medium,Low
DevOps,Completed,High,21,High,Low
Transfer of Knowledge (TOK),Completed,Medium,12,Medium,Low
Transfer of Knowledge (TOK),Completed,High,19,Medium,Low
Monitoring & Control Reports,To Do,Low,28,High,High
Human Resource Management (HRM),To Do,Medium,9,Low,Medium
Transfer of Technology (TOT),In Progress,High,11,Medium,Low
Payment Gateway Integration,In Progress,Low,2,Low,Low
User Authentication and Access Control,In Progress,High,3,Low,High
Notification System,To Do,Low,16,Medium,Low
DevOps,In Progress,Medium,25,High,Medium
Transfer of Knowledge (TOK),Completed,Low,11,Medium,Low
Customer Relationship Management (CRM),Completed,Medium,16,Medium,Low
Inventory Management,To Do,Low,20,High,Low
Notification System,To Do,Low,1,Low,High
Contract Documentation,In Progress,Low,12,Medium,Low
DevOps,To Do,High,1,Low,High
Business Continuity Plan (BCP),To Do,Low,15,Medium,Low
DevOps,Completed,High,2,Low,Low
Transfer of Technology (TOT),Completed,Low,2,Low,Low
User Interface and User Experience (UI/UX),In Progress,Medium,29,High,Medium
Business Continuity Plan (BCP),Completed,High,14,Medium,Low
Training Management,Completed,Low,10,Medium,Low
Inventory Management,Completed,High,5,Low,Low
Business Continuity Plan (BCP),In Progress,Low,15,Medium,Low
Workflow Management,In Progress,Low,25,High,High
Monitoring & Control Reports,In Progress,High,27,High,High
Portal Learning Management System (LMS),In Progress,Medium,27,High,Low
Enterprise Architecture (EA),In Progress,High,13,Medium,High
Human Resource Management (HRM),In Progress,Low,9,Low,High
Business Continuity Plan (BCP),To Do,Low,19,Medium,Low
Monitoring & Control Reports,Completed,High,6,Low,Low
Inventory Management,In Progress,Low,2,Low,Medium
User Interface and User Experience (UI/UX),In Progress,High,15,Medium,Low
Training Management,In Progress,Medium,11,Medium,Medium
Project Management Information System (PMIS),Completed,Low,3,Low,Low
Workflow Management,In Progress,Medium,12,Medium,Medium
Management Plans,To Do,Medium,12,Medium,Medium
DevOps,In Progress,High,20,High,Medium
Communication and Collaboration Tools,In Progress,Low,8,Low,Low
Management Plans,Completed,Low,9,Low,Low
User Interface and User Experience (UI/UX),To Do,Low,17,Medium,Low
Transfer of Knowledge (TOK),Completed,Medium,21,High,Low
Communication and Collaboration Tools,In Progress,Medium,19,Medium,Medium
Transfer of Knowledge (TOK),To Do,Medium,26,High,Low
Human Resource Management (HRM),In Progress,Medium,11,Medium,Medium
User Interface and User Experience (UI/UX),Completed,Medium,13,Medium,Low
Project Closure Report,Completed,Medium,29,High,Low
Human Resource Management (HRM),In Progress,Medium,20,High,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,4,Low,Low
Data Management and Storage,To Do,Low,20,High,Medium
Notification System,In Progress,Medium,30,High,Medium
Customer Relationship Management (CRM),In Progress,Medium,17,Medium,Medium
Portal Learning Management System (LMS),Completed,Low,1,Low,Low
Notification System,Completed,Low,15,Medium,Low
Payment Gateway Integration,In Progress,High,3,Low,High
User Interface and User Experience (UI/UX),To Do,Medium,20,High,Low
Portal,In Progress,Low,25,High,Medium
Workflow Management,To Do,Medium,4,Low,Medium
Communication and Collaboration Tools,In Progress,High,14,Medium,High
Training Management,To Do,Medium,29,High,Low
User Interface and User Experience (UI/UX),In Progress,Low,1,Low,Low
Contract Documentation,To Do,High,16,Medium,Low
Audit and Compliance,In Progress,Low,24,High,Low
Finalization and Integration,In Progress,Medium,21,High,High
Transfer of Knowledge (TOK),In Progress,High,27,High,High
Business Continuity Plan (BCP),In Progress,Medium,2,Low,Low
Monitoring & Control Reports,Completed,Low,24,High,Low
User Interface and User Experience (UI/UX),Completed,Medium,9,Low,Low
Data Services & Management,To Do,Low,20,High,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,20,High,High
Human Resource Management (HRM),Completed,High,14,Medium,Low
Inventory Management,Completed,Low,9,Low,Low
Project Closure Report,Completed,Medium,27,High,Low
Project Closure Report,To Do,High,26,High,Low
Transfer of Technology (TOT),To Do,High,15,Medium,Low
Project Management,Completed,High,10,Medium,Low
Project Management Information System (PMIS),To Do,Medium,1,Low,Low
Reporting and Analytics,To Do,High,7,Low,High
Workflow Management,To Do,Low,27,High,High
Data Services & Management,To Do,Low,12,Medium,High
Data Management and Storage,Completed,Medium,16,Medium,Low
Data Management and Storage,Completed,Low,1,Low,Low
Office Renovation,Completed,High,27,High,Low
Management Plans,Completed,High,5,Low,Low
Payment Gateway Integration,To Do,Low,10,Medium,Medium
Office Renovation,Completed,Low,4,Low,Low
Office Renovation,Completed,Medium,25,High,Low
Payment Gateway Integration,Completed,High,11,Medium,Low
Communication and Collaboration Tools,In Progress,Medium,25,High,Medium
Office Renovation,Completed,High,1,Low,Low
Transfer of Technology (TOT),To Do,High,12,Medium,Low
Business Continuity Plan (BCP),Completed,Low,28,High,Low
Business Continuity Plan (BCP),Completed,High,23,High,Low
Notification System,To Do,Low,18,Medium,High
Data Services & Management,In Progress,Medium,27,High,Medium
