Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class
Training Management,To Do,Low,7,Low
Inventory Management,Completed,Low,10,Medium
Change Management,To Do,Low,6,Low
Payment Gateway Integration,In Progress,High,29,High
Project Closure Report,To Do,Low,23,High
Data Lake & Data Warehouse Operation,In Progress,Medium,14,Medium
Reporting and Analytics,In Progress,Low,1,Low
Notification System,To Do,High,29,High
DevOps,Completed,Low,25,High
Reporting and Analytics,In Progress,Medium,7,Low
Customer Relationship Management (CRM),Completed,Low,26,High
Audit and Compliance,Completed,Low,27,High
Human Resource Management (HRM),To Do,High,16,Medium
Transfer of Knowledge (TOK),In Progress,Low,9,Low
Data Management and Storage,In Progress,Low,3,Low
Certificate of Acceptance (CoA),Completed,Low,23,High
DevOps,To Do,High,20,High
Portal Learning Management System (LMS),Completed,High,24,High
Project Closure Report,In Progress,Low,24,High
User Interface and User Experience (UI/UX),Completed,High,16,Medium
User Interface and User Experience (UI/UX),In Progress,High,26,High
Data Lake & Data Warehouse Operation,In Progress,Low,21,High
Management Plans,To Do,Low,26,High
Data Services & Management,In Progress,Low,26,High
Business Continuity Plan (BCP),In Progress,High,4,Low
Portal Learning Management System (LMS),Completed,Low,1,Low
Training Management,In Progress,Low,10,Medium
Human Resource Management (HRM),In Progress,Medium,20,High
Data Management and Storage,To Do,Low,18,Medium
Inventory Management,In Progress,Low,25,High
Communication and Collaboration Tools,To Do,High,26,High
Finalization and Integration,In Progress,Medium,1,Low
Inventory Management,Completed,Low,6,Low
Project Management Information System (PMIS),Completed,High,26,High
Office Renovation,Completed,Medium,15,Medium
Portal,Completed,Medium,10,Medium
Monitoring & Control Reports,To Do,High,24,High
Data Management and Storage,In Progress,Medium,28,High
Portal Learning Management System (LMS),Completed,Medium,6,Low
Project Closure Report,To Do,Medium,19,Medium
Portal Learning Management System (LMS),Completed,Low,15,Medium
Workflow Management,Completed,High,15,Medium
Monitoring & Control Reports,Completed,High,24,High
Contract Documentation,Completed,Low,24,High
Monitoring & Control Reports,In Progress,Low,29,High
Office Renovation,In Progress,Medium,6,Low
DevOps,In Progress,High,18,Medium
Communication and Collaboration Tools,Completed,Medium,26,High
User Authentication and Access Control,To Do,Medium,7,Low
Change Management,Completed,High,13,Medium
Contract Documentation,In Progress,Medium,5,Low
Inventory Management,Completed,Low,8,Low
Change Management,Completed,High,2,Low
Reporting and Analytics,In Progress,Low,14,Medium
Audit and Compliance,To Do,Medium,9,Low
User Authentication and Access Control,In Progress,Medium,19,Medium
Project Closure Report,In Progress,Medium,5,Low
Finalization and Integration,In Progress,Medium,12,Medium
Audit and Compliance,To Do,High,23,High
Reporting and Analytics,In Progress,Low,1,Low
Project Closure Report,Completed,Medium,8,Low
Enterprise Architecture (EA),In Progress,Low,27,High
Inventory Management,In Progress,High,9,Low
Certificate of Acceptance (CoA),Completed,High,7,Low
Audit and Compliance,Completed,High,23,High
Enterprise Architecture (EA),To Do,Medium,23,High
Contract Documentation,In Progress,Medium,8,Low
Notification System,Completed,Low,7,Low
User Authentication and Access Control,In Progress,High,17,Medium
Training Management,Completed,High,14,Medium
Business Continuity Plan (BCP),Completed,High,13,Medium
Project Management,In Progress,Low,16,Medium
Inventory Management,To Do,Medium,6,Low
Portal,In Progress,Medium,17,Medium
Finalization and Integration,In Progress,Low,13,Medium
Enterprise Architecture (EA),Completed,Medium,25,High
Portal Learning Management System (LMS),To Do,Medium,28,High
Certificate of Acceptance (CoA),To Do,High,27,High
User Interface and User Experience (UI/UX),In Progress,Medium,12,Medium
Management Plans,Completed,Low,16,Medium
Project Management,To Do,High,11,Medium
Business Continuity Plan (BCP),To Do,Low,20,High
Notification System,In Progress,Medium,15,Medium
Certificate of Acceptance (CoA),Completed,Medium,8,Low
Enterprise Architecture (EA),In Progress,Medium,4,Low
Finalization and Integration,To Do,Low,25,High
Communication and Collaboration Tools,To Do,Medium,11,Medium
Data Services & Management,To Do,Low,11,Medium
Communication and Collaboration Tools,In Progress,Low,24,High
Project Management,In Progress,High,25,High
Management Plans,In Progress,Low,21,High
Office Renovation,To Do,High,24,High
Notification System,Completed,High,17,Medium
Payment Gateway Integration,To Do,High,23,High
Office Renovation,Completed,Medium,28,High
Payment Gateway Integration,In Progress,High,21,High
Data Services & Management,Completed,Medium,6,Low
Certificate of Acceptance (CoA),In Progress,Medium,7,Low
Contract Documentation,Completed,Medium,16,Medium
Change Management,In Progress,Low,18,Medium
Management Plans,Completed,Medium,23,High
Notification System,In Progress,High,16,Medium
Transfer of Knowledge (TOK),Completed,Medium,3,Low
Portal Learning Management System (LMS),Completed,High,10,Medium
Project Closure Report,In Progress,Low,2,Low
Portal,Completed,Low,18,Medium
Contract Documentation,In Progress,Medium,28,High
Project Closure Report,To Do,Medium,28,High
Project Management Information System (PMIS),In Progress,High,21,High
User Interface and User Experience (UI/UX),In Progress,Medium,18,Medium
Monitoring & Control Reports,To Do,Low,8,Low
Customer Relationship Management (CRM),To Do,High,19,Medium
User Interface and User Experience (UI/UX),In Progress,Low,17,Medium
Reporting and Analytics,To Do,Medium,11,Medium
Management Plans,To Do,Low,1,Low
Inventory Management,Completed,Medium,18,Medium
Notification System,In Progress,Medium,18,Medium
Project Management Information System (PMIS),To Do,Low,3,Low
Finalization and Integration,In Progress,Low,24,High
Portal Learning Management System (LMS),In Progress,Medium,11,Medium
Transfer of Technology (TOT),To Do,High,28,High
Data Services & Management,Completed,Low,11,Medium
Notification System,In Progress,High,20,High
Project Closure Report,To Do,Medium,26,High
Enterprise Architecture (EA),In Progress,Medium,5,Low
Enterprise Architecture (EA),Completed,High,21,High
Change Management,In Progress,High,22,High
Data Services & Management,Completed,High,22,High
Payment Gateway Integration,To Do,Medium,16,Medium
Monitoring & Control Reports,To Do,High,11,Medium
Enterprise Architecture (EA),Completed,Medium,2,Low
Project Management,Completed,Low,16,Medium
Customer Relationship Management (CRM),Completed,High,24,High
Enterprise Architecture (EA),To Do,Low,27,High
Inventory Management,To Do,High,3,Low
Data Management and Storage,In Progress,Low,2,Low
Reporting and Analytics,In Progress,Low,24,High
Data Lake & Data Warehouse Operation,In Progress,Medium,19,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,21,High
Reporting and Analytics,In Progress,Low,11,Medium
Business Continuity Plan (BCP),To Do,High,23,High
Workflow Management,Completed,High,18,Medium
User Authentication and Access Control,In Progress,Low,29,High
Office Renovation,In Progress,High,5,Low
Audit and Compliance,To Do,High,2,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,1,Low
Audit and Compliance,In Progress,Medium,20,High
Notification System,In Progress,Medium,25,High
Portal,Completed,High,1,Low
Audit and Compliance,To Do,Low,5,Low
Finalization and Integration,Completed,High,28,High
User Interface and User Experience (UI/UX),In Progress,High,23,High
Data Management and Storage,In Progress,Medium,2,Low
Inventory Management,Completed,Low,12,Medium
Inventory Management,To Do,Medium,27,High
Notification System,In Progress,Low,22,High
Inventory Management,Completed,Medium,1,Low
Portal,Completed,Low,5,Low
Customer Relationship Management (CRM),In Progress,High,6,Low
Change Management,Completed,Low,24,High
Customer Relationship Management (CRM),Completed,Low,27,High
Change Management,In Progress,High,28,High
Human Resource Management (HRM),Completed,High,3,Low
Finalization and Integration,Completed,Medium,17,Medium
Portal,Completed,High,12,Medium
User Authentication and Access Control,In Progress,High,27,High
User Interface and User Experience (UI/UX),In Progress,High,28,High
Contract Documentation,Completed,Low,1,Low
Audit and Compliance,Completed,Medium,11,Medium
Change Management,To Do,Low,3,Low
Project Closure Report,To Do,Medium,21,High
Training Management,In Progress,Low,24,High
Audit and Compliance,Completed,High,20,High
Project Management,Completed,Low,26,High
Business Continuity Plan (BCP),In Progress,Low,1,Low
Transfer of Technology (TOT),Completed,Medium,10,Medium
Data Services & Management,In Progress,Low,25,High
Project Closure Report,Completed,High,9,Low
Project Closure Report,To Do,High,12,Medium
Office Renovation,Completed,Medium,25,High
Inventory Management,In Progress,Medium,11,Medium
Enterprise Architecture (EA),In Progress,Low,26,High
User Interface and User Experience (UI/UX),In Progress,Low,12,Medium
Inventory Management,In Progress,High,10,Medium
Business Continuity Plan (BCP),Completed,Low,14,Medium
Office Renovation,Completed,High,4,Low
Communication and Collaboration Tools,Completed,Low,27,High
Inventory Management,To Do,Low,9,Low
Data Services & Management,To Do,Low,7,Low
Portal,In Progress,Medium,26,High
Management Plans,To Do,Low,19,Medium
User Authentication and Access Control,To Do,Low,13,Medium
Monitoring & Control Reports,Completed,Medium,26,High
Project Management Information System (PMIS),In Progress,High,6,Low
Communication and Collaboration Tools,In Progress,Low,5,Low
Project Management Information System (PMIS),To Do,High,4,Low
Transfer of Technology (TOT),To Do,High,5,Low
Customer Relationship Management (CRM),To Do,High,10,Medium
Inventory Management,To Do,High,20,High
Contract Documentation,To Do,Low,25,High
Change Management,To Do,Low,16,Medium
Monitoring & Control Reports,Completed,High,11,Medium
Audit and Compliance,In Progress,Medium,4,Low
Audit and Compliance,In Progress,Medium,6,Low
Human Resource Management (HRM),Completed,High,12,Medium
Monitoring & Control Reports,Completed,High,17,Medium
Finalization and Integration,To Do,Low,26,High
Enterprise Architecture (EA),To Do,Medium,23,High
DevOps,To Do,Medium,27,High
Office Renovation,In Progress,Medium,15,Medium
Project Management,To Do,Medium,24,High
Data Services & Management,To Do,Medium,8,Low
Audit and Compliance,In Progress,Low,3,Low
Finalization and Integration,Completed,Low,22,High
Project Management Information System (PMIS),In Progress,High,14,Medium
Workflow Management,To Do,High,7,Low
Payment Gateway Integration,In Progress,High,13,Medium
Portal,In Progress,High,26,High
Communication and Collaboration Tools,Completed,Low,30,High
Notification System,To Do,Medium,15,Medium
Payment Gateway Integration,In Progress,Low,28,High
Office Renovation,In Progress,High,9,Low
Payment Gateway Integration,To Do,High,1,Low
Management Plans,Completed,Medium,18,Medium
Enterprise Architecture (EA),In Progress,Medium,1,Low
Monitoring & Control Reports,To Do,Medium,11,Medium
Business Continuity Plan (BCP),Completed,High,28,High
Project Management Information System (PMIS),Completed,High,17,Medium
Project Management Information System (PMIS),To Do,High,9,Low
Project Management Information System (PMIS),Completed,Medium,22,High
Human Resource Management (HRM),To Do,Medium,5,Low
Data Management and Storage,To Do,High,4,Low
Project Closure Report,Completed,High,29,High
Project Closure Report,To Do,Medium,14,Medium
Enterprise Architecture (EA),To Do,High,27,High
Contract Documentation,Completed,Low,21,High
Project Management Information System (PMIS),Completed,Medium,5,Low
Contract Documentation,In Progress,Medium,19,Medium
Project Closure Report,To Do,High,5,Low
Monitoring & Control Reports,Completed,Medium,20,High
Communication and Collaboration Tools,Completed,High,17,Medium
Office Renovation,Completed,Medium,2,Low
Payment Gateway Integration,To Do,Low,11,Medium
Project Management,To Do,High,17,Medium
Project Closure Report,To Do,Medium,20,High
Portal,In Progress,Low,15,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,5,Low
Payment Gateway Integration,To Do,Low,3,Low
Audit and Compliance,In Progress,Medium,10,Medium
Project Management,In Progress,Low,18,Medium
Portal Learning Management System (LMS),To Do,Medium,8,Low
Project Management Information System (PMIS),To Do,High,18,Medium
Contract Documentation,To Do,High,30,High
Certificate of Acceptance (CoA),In Progress,Medium,28,High
Workflow Management,Completed,Medium,28,High
User Authentication and Access Control,In Progress,Low,14,Medium
Project Closure Report,In Progress,High,13,Medium
Data Management and Storage,To Do,Medium,18,Medium
DevOps,Completed,Low,29,High
Finalization and Integration,Completed,High,15,Medium
Data Management and Storage,Completed,Medium,28,High
Change Management,To Do,Low,21,High
Certificate of Acceptance (CoA),In Progress,Low,6,Low
Workflow Management,To Do,High,5,Low
Transfer of Knowledge (TOK),To Do,Low,18,Medium
Monitoring & Control Reports,To Do,High,2,Low
Office Renovation,To Do,Medium,5,Low
Business Continuity Plan (BCP),Completed,High,24,High
Communication and Collaboration Tools,Completed,High,3,Low
Portal,Completed,Low,10,Medium
Management Plans,In Progress,High,25,High
Monitoring & Control Reports,Completed,Medium,17,Medium
Data Management and Storage,Completed,Low,17,Medium
Office Renovation,Completed,Medium,1,Low
Project Management Information System (PMIS),To Do,High,8,Low
Business Continuity Plan (BCP),In Progress,Medium,30,High
DevOps,To Do,Medium,20,High
Enterprise Architecture (EA),In Progress,High,22,High
Notification System,To Do,High,6,Low
Monitoring & Control Reports,In Progress,Medium,14,Medium
