Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Communication and Collaboration Tools,In Progress,Low,4,Low,Medium
Change Management,Completed,High,26,High,Low
Project Closure Report,Completed,Low,29,High,Low
Portal Learning Management System (LMS),In Progress,Low,20,High,Medium
Change Management,Completed,High,11,Medium,Low
Transfer of Knowledge (TOK),Completed,Medium,23,High,Low
Inventory Management,In Progress,Low,17,Medium,Medium
Transfer of Technology (TOT),In Progress,Medium,19,Medium,Medium
Training Management,Completed,Low,9,Low,Low
Project Closure Report,In Progress,High,19,Medium,Low
Data Management and Storage,Completed,Low,24,High,Low
Office Renovation,Completed,Medium,27,High,Low
Transfer of Technology (TOT),Completed,High,22,High,Low
Project Closure Report,In Progress,Medium,14,Medium,Low
Finalization and Integration,To Do,Low,30,High,Medium
Project Management Information System (PMIS),In Progress,Medium,29,High,Medium
Notification System,To Do,High,12,Medium,Low
User Authentication and Access Control,Completed,Low,27,High,Medium
Certificate of Acceptance (CoA),In Progress,Low,5,Low,Low
Data Management and Storage,Completed,Low,12,Medium,Low
Inventory Management,Completed,High,9,Low,Low
Portal Learning Management System (LMS),To Do,Low,7,Low,Low
Portal,To Do,High,26,High,High
Enterprise Architecture (EA),In Progress,High,30,High,Medium
User Authentication and Access Control,To Do,Medium,15,Medium,Medium
Human Resource Management (HRM),Completed,High,4,Low,Low
Notification System,In Progress,Medium,6,Low,Low
Certificate of Acceptance (CoA),In Progress,Low,8,Low,Low
Project Management Information System (PMIS),In Progress,High,7,Low,Medium
Business Continuity Plan (BCP),In Progress,Low,20,High,Medium
Change Management,Completed,High,18,Medium,Low
Notification System,In Progress,Low,30,High,Low
Portal Learning Management System (LMS),To Do,Medium,25,High,Medium
User Authentication and Access Control,To Do,Medium,16,Medium,Medium
User Interface and User Experience (UI/UX),Completed,Low,9,Low,Low
Data Management and Storage,In Progress,High,17,Medium,Medium
Contract Documentation,Completed,High,22,High,Low
Business Continuity Plan (BCP),Completed,Medium,19,Medium,Low
Payment Gateway Integration,Completed,Medium,24,High,Medium
Project Closure Report,To Do,High,3,Low,Low
Portal,In Progress,High,18,Medium,Medium
Change Management,In Progress,Medium,4,Low,Low
Data Management and Storage,In Progress,Medium,5,Low,Medium
Human Resource Management (HRM),Completed,Low,9,Low,Low
Transfer of Technology (TOT),To Do,Medium,4,Low,Low
Transfer of Technology (TOT),In Progress,Low,4,Low,Low
DevOps,To Do,Medium,17,Medium,Medium
Notification System,Completed,Low,5,Low,Low
Communication and Collaboration Tools,Completed,Low,22,High,Medium
Office Renovation,To Do,Low,1,Low,Low
User Interface and User Experience (UI/UX),Completed,High,9,Low,Medium
Customer Relationship Management (CRM),To Do,Medium,25,High,Medium
Workflow Management,To Do,Medium,3,Low,Medium
Data Services & Management,In Progress,Medium,9,Low,Medium
Workflow Management,Completed,Medium,8,Low,Low
Data Management and Storage,In Progress,Low,7,Low,Medium
Data Management and Storage,Completed,Medium,27,High,Low
Portal Learning Management System (LMS),In Progress,Low,14,Medium,Medium
Monitoring & Control Reports,Completed,Medium,17,Medium,Medium
Change Management,In Progress,Medium,20,High,Medium
Management Plans,To Do,Medium,18,Medium,Low
Workflow Management,In Progress,High,3,Low,Medium
Human Resource Management (HRM),In Progress,High,12,Medium,Medium
Inventory Management,To Do,Low,29,High,Medium
DevOps,In Progress,High,18,Medium,Medium
Communication and Collaboration Tools,In Progress,Low,6,Low,Medium
Data Management and Storage,Completed,Low,14,Medium,Low
Training Management,To Do,Low,7,Low,Low
Inventory Management,Completed,Low,10,Medium,Low
Change Management,To Do,Low,6,Low,Low
Payment Gateway Integration,In Progress,High,29,High,High
Project Closure Report,To Do,Low,23,High,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,14,Medium,Medium
Reporting and Analytics,In Progress,Low,1,Low,Low
Notification System,To Do,High,29,High,Medium
DevOps,Completed,Low,25,High,Low
Reporting and Analytics,In Progress,Medium,7,Low,Medium
Customer Relationship Management (CRM),Completed,Low,26,High,Medium
Audit and Compliance,Completed,Low,27,High,Low
Human Resource Management (HRM),To Do,High,16,Medium,Medium
Transfer of Knowledge (TOK),In Progress,Low,9,Low,Low
Data Management and Storage,In Progress,Low,3,Low,Medium
Certificate of Acceptance (CoA),Completed,Low,23,High,Low
DevOps,To Do,High,20,High,High
Portal Learning Management System (LMS),Completed,High,24,High,Medium
Project Closure Report,In Progress,Low,24,High,Low
User Interface and User Experience (UI/UX),Completed,High,16,Medium,Medium
User Interface and User Experience (UI/UX),In Progress,High,26,High,High
Data Lake & Data Warehouse Operation,In Progress,Low,21,High,Medium
Management Plans,To Do,Low,26,High,Low
Data Services & Management,In Progress,Low,26,High,Medium
Business Continuity Plan (BCP),In Progress,High,4,Low,Low
Portal Learning Management System (LMS),Completed,Low,1,Low,Low
Training Management,In Progress,Low,10,Medium,Medium
Human Resource Management (HRM),In Progress,Medium,20,High,Medium
Data Management and Storage,To Do,Low,18,Medium,Medium
Inventory Management,In Progress,Low,25,High,Medium
Communication and Collaboration Tools,To Do,High,26,High,High
Finalization and Integration,In Progress,Medium,1,Low,Medium
Inventory Management,Completed,Low,6,Low,Low
Project Management Information System (PMIS),Completed,High,26,High,Medium
Office Renovation,Completed,Medium,15,Medium,Low
Portal,Completed,Medium,10,Medium,Low
Monitoring & Control Reports,To Do,High,24,High,High
Data Management and Storage,In Progress,Medium,28,High,High
Portal Learning Management System (LMS),Completed,Medium,6,Low,Low
Project Closure Report,To Do,Medium,19,Medium,Low
Portal Learning Management System (LMS),Completed,Low,15,Medium,Low
Workflow Management,Completed,High,15,Medium,Low
Monitoring & Control Reports,Completed,High,24,High,Low
Contract Documentation,Completed,Low,24,High,Low
Monitoring & Control Reports,In Progress,Low,29,High,Medium
Office Renovation,In Progress,Medium,6,Low,Low
DevOps,In Progress,High,18,Medium,Medium
Communication and Collaboration Tools,Completed,Medium,26,High,Medium
User Authentication and Access Control,To Do,Medium,7,Low,Medium
Change Management,Completed,High,13,Medium,Low
Contract Documentation,In Progress,Medium,5,Low,Low
Inventory Management,Completed,Low,8,Low,Low
Change Management,Completed,High,2,Low,Low
Reporting and Analytics,In Progress,Low,14,Medium,Medium
Audit and Compliance,To Do,Medium,9,Low,Low
User Authentication and Access Control,In Progress,Medium,19,Medium,Medium
Project Closure Report,In Progress,Medium,5,Low,Low
Finalization and Integration,In Progress,Medium,12,Medium,Medium
Audit and Compliance,To Do,High,23,High,Low
Reporting and Analytics,In Progress,Low,1,Low,Low
Project Closure Report,Completed,Medium,8,Low,Low
Enterprise Architecture (EA),In Progress,Low,27,High,Low
Inventory Management,In Progress,High,9,Low,Medium
Certificate of Acceptance (CoA),Completed,High,7,Low,Low
Audit and Compliance,Completed,High,23,High,Low
Enterprise Architecture (EA),To Do,Medium,23,High,Low
Contract Documentation,In Progress,Medium,8,Low,Low
Notification System,Completed,Low,7,Low,Low
User Authentication and Access Control,In Progress,High,17,Medium,Medium
Training Management,Completed,High,14,Medium,Low
Business Continuity Plan (BCP),Completed,High,13,Medium,Low
Project Management,In Progress,Low,16,Medium,Medium
Inventory Management,To Do,Medium,6,Low,Medium
Portal,In Progress,Medium,17,Medium,Medium
Finalization and Integration,In Progress,Low,13,Medium,Medium
Enterprise Architecture (EA),Completed,Medium,25,High,Low
Portal Learning Management System (LMS),To Do,Medium,28,High,Medium
Certificate of Acceptance (CoA),To Do,High,27,High,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,12,Medium,Medium
Management Plans,Completed,Low,16,Medium,Low
Project Management,To Do,High,11,Medium,Medium
Business Continuity Plan (BCP),To Do,Low,20,High,Medium
Notification System,In Progress,Medium,15,Medium,Low
Certificate of Acceptance (CoA),Completed,Medium,8,Low,Low
Enterprise Architecture (EA),In Progress,Medium,4,Low,Low
Finalization and Integration,To Do,Low,25,High,Medium
Communication and Collaboration Tools,To Do,Medium,11,Medium,Medium
Data Services & Management,To Do,Low,11,Medium,Medium
Communication and Collaboration Tools,In Progress,Low,24,High,High
Project Management,In Progress,High,25,High,High
Management Plans,In Progress,Low,21,High,Low
Office Renovation,To Do,High,24,High,Low
Notification System,Completed,High,17,Medium,Low
Payment Gateway Integration,To Do,High,23,High,High
Office Renovation,Completed,Medium,28,High,Low
Payment Gateway Integration,In Progress,High,21,High,High
Data Services & Management,Completed,Medium,6,Low,Low
Certificate of Acceptance (CoA),In Progress,Medium,7,Low,Low
Contract Documentation,Completed,Medium,16,Medium,Low
Change Management,In Progress,Low,18,Medium,Low
Management Plans,Completed,Medium,23,High,Low
Notification System,In Progress,High,16,Medium,Low
Transfer of Knowledge (TOK),Completed,Medium,3,Low,Low
Portal Learning Management System (LMS),Completed,High,10,Medium,Low
Project Closure Report,In Progress,Low,2,Low,Low
Portal,Completed,Low,18,Medium,Low
Contract Documentation,In Progress,Medium,28,High,Medium
Project Closure Report,To Do,Medium,28,High,Low
Project Management Information System (PMIS),In Progress,High,21,High,High
User Interface and User Experience (UI/UX),In Progress,Medium,18,Medium,Medium
Monitoring & Control Reports,To Do,Low,8,Low,Medium
Customer Relationship Management (CRM),To Do,High,19,Medium,Medium
User Interface and User Experience (UI/UX),In Progress,Low,17,Medium,Medium
Reporting and Analytics,To Do,Medium,11,Medium,Medium
Management Plans,To Do,Low,1,Low,Low
Inventory Management,Completed,Medium,18,Medium,Low
Notification System,In Progress,Medium,18,Medium,Low
Project Management Information System (PMIS),To Do,Low,3,Low,Low
Finalization and Integration,In Progress,Low,24,High,Medium
Portal Learning Management System (LMS),In Progress,Medium,11,Medium,Medium
Transfer of Technology (TOT),To Do,High,28,High,Medium
Data Services & Management,Completed,Low,11,Medium,Low
Notification System,In Progress,High,20,High,Medium
Project Closure Report,To Do,Medium,26,High,Low
Enterprise Architecture (EA),In Progress,Medium,5,Low,Low
Enterprise Architecture (EA),Completed,High,21,High,Low
Change Management,In Progress,High,22,High,Medium
Data Services & Management,Completed,High,22,High,Medium
Payment Gateway Integration,To Do,Medium,16,Medium,Medium
Monitoring & Control Reports,To Do,High,11,Medium,Medium
Enterprise Architecture (EA),Completed,Medium,2,Low,Low
Project Management,Completed,Low,16,Medium,Low
Customer Relationship Management (CRM),Completed,High,24,High,Medium
Enterprise Architecture (EA),To Do,Low,27,High,Low
Inventory Management,To Do,High,3,Low,Medium
Data Management and Storage,In Progress,Low,2,Low,Medium
Reporting and Analytics,In Progress,Low,24,High,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,19,Medium,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,21,High,Medium
Reporting and Analytics,In Progress,Low,11,Medium,Medium
Business Continuity Plan (BCP),To Do,High,23,High,Medium
Workflow Management,Completed,High,18,Medium,Low
User Authentication and Access Control,In Progress,Low,29,High,Medium
Office Renovation,In Progress,High,5,Low,Low
Audit and Compliance,To Do,High,2,Low,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,1,Low,Medium
Audit and Compliance,In Progress,Medium,20,High,Medium
Notification System,In Progress,Medium,25,High,Low
Portal,Completed,High,1,Low,Low
Audit and Compliance,To Do,Low,5,Low,Low
Finalization and Integration,Completed,High,28,High,Medium
User Interface and User Experience (UI/UX),In Progress,High,23,High,High
Data Management and Storage,In Progress,Medium,2,Low,Medium
Inventory Management,Completed,Low,12,Medium,Low
Inventory Management,To Do,Medium,27,High,Medium
Notification System,In Progress,Low,22,High,Low
Inventory Management,Completed,Medium,1,Low,Low
Portal,Completed,Low,5,Low,Low
Customer Relationship Management (CRM),In Progress,High,6,Low,Medium
Change Management,Completed,Low,24,High,Low
Customer Relationship Management (CRM),Completed,Low,27,High,Medium
Change Management,In Progress,High,28,High,Medium
Human Resource Management (HRM),Completed,High,3,Low,Low
Finalization and Integration,Completed,Medium,17,Medium,Low
Portal,Completed,High,12,Medium,Low
User Authentication and Access Control,In Progress,High,27,High,High
User Interface and User Experience (UI/UX),In Progress,High,28,High,High
Contract Documentation,Completed,Low,1,Low,Low
Audit and Compliance,Completed,Medium,11,Medium,Low
Change Management,To Do,Low,3,Low,Low
Project Closure Report,To Do,Medium,21,High,Low
Training Management,In Progress,Low,24,High,Medium
Audit and Compliance,Completed,High,20,High,Low
Project Management,Completed,Low,26,High,Low
Business Continuity Plan (BCP),In Progress,Low,1,Low,Low
Transfer of Technology (TOT),Completed,Medium,10,Medium,Low
Data Services & Management,In Progress,Low,25,High,Medium
Project Closure Report,Completed,High,9,Low,Low
Project Closure Report,To Do,High,12,Medium,Low
Office Renovation,Completed,Medium,25,High,Low
Inventory Management,In Progress,Medium,11,Medium,Medium
Enterprise Architecture (EA),In Progress,Low,26,High,Low
User Interface and User Experience (UI/UX),In Progress,Low,12,Medium,Medium
Inventory Management,In Progress,High,10,Medium,Medium
Business Continuity Plan (BCP),Completed,Low,14,Medium,Low
Office Renovation,Completed,High,4,Low,Low
Communication and Collaboration Tools,Completed,Low,27,High,Medium
Inventory Management,To Do,Low,9,Low,Low
Data Services & Management,To Do,Low,7,Low,Medium
Portal,In Progress,Medium,26,High,Medium
Management Plans,To Do,Low,19,Medium,Low
User Authentication and Access Control,To Do,Low,13,Medium,Medium
Monitoring & Control Reports,Completed,Medium,26,High,Low
Project Management Information System (PMIS),In Progress,High,6,Low,Medium
Communication and Collaboration Tools,In Progress,Low,5,Low,Medium
Project Management Information System (PMIS),To Do,High,4,Low,Medium
Transfer of Technology (TOT),To Do,High,5,Low,Low
Customer Relationship Management (CRM),To Do,High,10,Medium,Medium
Inventory Management,To Do,High,20,High,Medium
Contract Documentation,To Do,Low,25,High,Low
Change Management,To Do,Low,16,Medium,Low
Monitoring & Control Reports,Completed,High,11,Medium,High
Audit and Compliance,In Progress,Medium,4,Low,Medium
Audit and Compliance,In Progress,Medium,6,Low,Medium
Human Resource Management (HRM),Completed,High,12,Medium,Low
Monitoring & Control Reports,Completed,High,17,Medium,High
Finalization and Integration,To Do,Low,26,High,Medium
